price,city_fuel_economy,engine_displacement,highway_fuel_economy,horsepower,mileage,year
39800,15,6400,25,485,46760,2016
45000,17,3600,23,276,18672,2019
41888,16,5300,23,355,32864,2017
40000,22,2000,27,241,23992,2018
39963,20,3000,29,335,43591,2017
57800,15,6200,20,420,19046,2017
41800,17,4700,25,402,28559,2017
37797,24,2000,34,248,10083,2019
39391,17,3500,23,375,44789,2019
37900,16,4400,25,445,53661,2016
70831,12,5500,14,544,60000,2013
57500,16,6200,20,420,27044,2019
65888,17,3000,22,335,11279,2019
45488,17,3500,23,375,42667,2018
35289,18,3500,23,375,23247,2017
35950,16,5300,22,355,24555,2017
48990,16,3500,21,375,29441,2019
36988,18,3600,27,335,32471,2018
39991,21,3000,31,320,16317,2018
46998,17,3600,24,420,34900,2017
47333,19,3000,25,333,31546,2018
49888,18,3600,23,285,31865,2018
43599,15,5300,22,355,33764,2019
42000,15,6200,20,420,74395,2017
54884,13,5700,18,381,67250,2016
48992,18,3000,25,396,31076,2017
43950,16,5000,22,395,29393,2019
45997,17,3500,23,375,43792,2019
37500,16,3500,22,365,46833,2017
53998,16,5300,22,355,29201,2019
59872,15,6200,26,460,15213,2017
42301,15,4600,18,301,37519,2017
36995,14,6400,23,485,33977,2019
40249,15,5300,22,355,39399,2019
39950,18,3500,23,375,32861,2017
45668,16,5300,22,355,30934,2020
47926,16,4400,25,445,48950,2018
36590,23,2000,33,248,34599,2017
42590,15,6400,24,485,13798,2019
46387,15,5700,21,395,28979,2019
38325,18,3500,22,278,31476,2019
39998,15,5700,21,395,44067,2018
56188,15,6200,20,420,20601,2019
61120,17,3000,22,335,13910,2019
36589,18,3500,23,375,43237,2017
42353,31,3500,28,308,31947,2017
54500,14,6200,22,420,54650,2019
45860,23,3000,29,255,32857,2017
44977,15,5700,21,395,11691,2020
44775,15,5700,21,395,16346,2019
60000,13,6200,22,707,13696,2018
43480,13,5600,19,400,31065,2019
71000,14,6200,21,420,18655,2020
38333,16,5300,22,355,38322,2017
39495,17,3800,23,355,99170,2007
35796,19,3500,26,284,13118,2019
39995,16,5300,22,355,20078,2018
37500,16,3600,20,285,41337,2016
40695,16,6200,22,420,27279,2017
56889,15,3500,18,450,45781,2017
48900,15,5300,20,355,12372,2019
46991,17,3000,24,425,23621,2015
53995,15,6200,25,455,10733,2019
59086,19,3000,25,329,10128,2019
40986,19,2000,25,252,28887,2018
39995,16,5300,23,355,71912,2015
38991,18,3500,26,290,21753,2018
42815,23,2000,30,248,10247,2019
42879,21,2000,29,241,14625,2019
37998,19,3500,24,375,40660,2018
35334,21,2000,28,241,28042,2018
