price,city_fuel_economy,engine_displacement,highway_fuel_economy,horsepower,mileage,year
31409,15,5700,21,395,26054,2017
33000,16,5300,22,355,45804,2017
31900,16,3600,20,285,24653,2016
32980,18,3600,25,310,41538,2017
33999,15,3500,19,365,62268,2017
35000,18,3600,25,295,17419,2019
34479,23,2000,28,252,43186,2017
31588,19,3500,28,280,19017,2018
30500,20,3500,27,295,34005,2019
34612,18,3500,22,302,51435,2017
31895,16,3500,22,290,24973,2018
31975,22,2000,32,241,20795,2017
34480,18,3500,22,278,21732,2019
33995,19,3500,26,295,29571,2017
32489,18,3600,25,295,30816,2019
33991,16,6200,25,455,18627,2016
32990,19,3500,26,295,64525,2016
35000,16,6200,22,420,110906,2017
32750,18,3500,26,290,53181,2017
34400,23,2000,34,248,18849,2019
34999,15,5600,21,390,31982,2017
32900,16,5000,22,395,144092,2018
32062,16,5300,22,355,60034,2017
33650,19,3500,24,375,37145,2018
30998,20,2500,26,250,13035,2018
34990,21,2000,28,241,35038,2017
30260,19,3500,26,284,36093,2017
31777,18,3600,25,295,24860,2018
30989,21,2000,27,268,12670,2019
33833,16,5300,22,355,61536,2017
31777,16,3500,22,290,17388,2019
32100,18,3500,26,280,44302,2018
34720,16,6200,22,420,43096,2018
31995,15,4800,21,420,84646,2013
30988,21,2000,28,250,29668,2019
32988,18,3300,23,290,10381,2019
32750,16,5300,22,355,28489,2018
33997,23,2000,34,248,18744,2019
30995,18,3600,23,285,30761,2018
30360,22,2000,32,241,46549,2018
30589,20,2000,27,302,16006,2017
34995,19,3500,24,278,25557,2019
34999,19,3500,26,295,26033,2017
34368,18,3500,23,375,15071,2017
30998,17,3600,23,276,38200,2019
34766,15,5000,21,385,41883,2017
30984,16,3500,22,290,46212,2019
31999,19,3500,26,284,30656,2019
33595,19,3500,26,306,24759,2017
34600,14,5700,22,360,31162,2017
33500,15,5700,21,395,82696,2016
31000,15,3500,21,365,87978,2014
34990,19,2300,25,285,24450,2019
31000,18,3600,25,295,38984,2017
34995,16,5300,22,355,25357,2017
30995,21,3500,30,268,19401,2018
33900,16,5300,22,355,24471,2017
34290,15,5700,21,395,53987,2019
34998,17,3500,20,278,31480,2018
34990,16,6200,25,455,21866,2018
34929,18,3000,25,241,32370,2018
32998,22,2000,28,241,23905,2017
32990,16,5300,22,355,22285,2018
32491,16,5300,22,355,22155,2018
32999,16,3600,23,305,26365,2017
32995,19,3000,25,333,71425,2017
31995,16,3500,22,365,49981,2017
31995,22,2000,30,220,23388,2018
30499,19,3300,25,290,29769,2019
31990,18,3600,25,310,38392,2017
33988,16,3500,22,365,38138,2019
33550,22,2000,28,241,47446,2018
34985,18,3600,25,310,37199,2017
31113,16,5300,22,355,31292,2017
32500,16,3500,22,365,38925,2017
35000,15,5700,23,380,30903,1990
31944,16,5300,22,355,44499,2017
32700,18,3000,25,241,43450,2018
30950,24,2000,34,248,21116,2018
30690,21,3500,27,295,16471,2019
33794,18,3000,25,241,37206,2017
32130,21,2000,28,241,15007,2017
32590,15,5700,21,395,26484,2017
30321,16,3600,20,285,55031,2016
31992,18,3500,25,280,46710,2017
32288,17,3500,23,365,57030,2015
31525,17,3600,23,276,32530,2018
34930,14,3500,18,310,32671,2019
31995,16,5300,22,355,30229,2018
32990,18,3500,23,278,25408,2017
30590,16,3600,21,285,75682,2012
30997,17,4300,22,285,74723,2014
34490,17,3600,23,276,26711,2018
33999,18,3600,25,295,10076,2019
33995,18,3600,25,295,27375,2019
34977,20,3600,25,305,27456,2019
32999,18,3600,25,295,31376,2019
33690,15,5700,21,395,21020,2018
34245,16,5300,22,355,36021,2018
35000,24,2000,30,237,16279,2020
31977,17,3600,25,305,49250,2016
33491,24,2000,34,248,46407,2017
31388,16,5300,22,355,48692,2017
31987,23,2000,32,228,11769,2018
34000,22,2000,28,241,38923,2018
33266,18,3000,25,241,36173,2017
33647,20,2300,24,270,16861,2019
31864,21,3000,32,320,44051,2017
32988,22,2000,28,235,23572,2018
32777,16,5300,22,355,31825,2018
32300,18,3500,26,290,37275,2017
34500,16,3500,22,365,41228,2019
31372,21,3000,32,320,46028,2017
32998,17,4000,20,270,30132,2019
30678,18,3600,25,310,18173,2017
33858,19,3500,26,280,44033,2017
31897,16,5300,22,355,110110,2015
31995,20,3600,27,256,21202,2019
31488,16,3500,22,365,66529,2018
31971,23,2000,33,248,39771,2018
33999,23,2000,30,241,32652,2017
32888,19,3500,24,278,38805,2017
34177,22,2000,27,296,30453,2019
33792,20,3500,28,260,13481,2019
34995,22,2000,29,241,37145,2017
33988,19,3500,26,295,19145,2017
33995,16,5300,23,355,67264,2015
32250,18,3600,25,295,17998,2017
30500,18,3600,25,295,27142,2019
34000,16,5300,22,355,20115,2018
32390,15,5700,21,395,14447,2020
31982,15,5700,21,395,24644,2019
32995,17,3600,25,310,71267,2019
31500,18,3500,23,365,44730,2016
34793,16,5300,22,355,12518,2020
30556,33,2500,30,194,39044,2017
30389,18,3000,25,241,22332,2017
30537,17,3600,24,308,22121,2018
33450,18,3600,25,310,12507,2020
34977,18,3600,25,295,11719,2020
30519,21,3500,30,268,32958,2018
34000,20,3500,27,295,40320,2017
33916,16,3500,22,365,31034,2018
34498,18,3000,24,300,65815,2018
32000,15,5000,23,435,39558,2017
32899,19,3500,26,295,37756,2017
31899,16,3500,22,365,37809,2019
30995,15,5000,22,385,35790,2017
30992,20,3500,27,284,22519,2020
30933,21,2000,26,252,18357,2019
30695,17,3600,24,308,42431,2017
33995,15,5700,21,395,27181,2018
30400,17,3500,23,365,64248,2015
32477,18,3600,25,295,25821,2019
33988,17,3500,24,290,20242,2018
33999,24,2000,33,208,26937,2019
