price,city_fuel_economy,engine_displacement,highway_fuel_economy,horsepower,mileage,year
16991,17,3600,25,283,47706,2018
16950,15,5000,21,360,67250,2014
11342,16,4000,22,261,129241,2013
13488,29,1800,37,124,39854,2018
18994,28,2000,37,147,30297,2017
18995,21,2000,28,240,73927,2016
18984,24,2500,33,178,21922,2017
16450,27,1500,36,160,30624,2017
10995,14,5300,19,310,178690,2007
11995,26,1800,39,145,32942,2016
11791,28,2000,37,147,66874,2018
11997,27,2500,38,182,104813,2015
13590,27,2500,38,182,46647,2015
19146,29,2000,37,158,21764,2019
12998,29,2000,38,147,55953,2017
16897,28,2500,39,203,36044,2019
18640,21,2400,30,180,30213,2018
19896,29,1500,36,160,11091,2020
16999,23,2000,30,164,28087,2017
15495,16,3600,22,288,131185,2014
14995,28,1600,32,188,61218,2017
14795,52,1600,49,139,65764,2017
19450,22,2400,29,181,15708,2017
15940,12,3600,18,283,38016,2019
12590,28,1800,38,148,65024,2013
17100,23,1800,34,170,12614,2017
14599,29,2000,38,147,17290,2017
15627,24,2500,31,176,73565,2015
10500,15,3900,21,280,149704,2004
14990,30,2000,41,158,41919,2016
16950,23,2500,30,176,45144,2017
11995,24,1400,31,138,85126,2015
14999,14,5700,18,381,113800,2008
17795,18,3500,27,288,86035,2018
15877,51,1800,48,134,69420,2015
12773,28,1600,38,130,28088,2019
15777,24,2400,33,185,38017,2019
14445,24,2400,34,185,20057,2018
16416,28,1800,35,132,38616,2019
16485,25,2500,37,184,42078,2016
18395,26,2400,34,189,47954,2017
12480,27,1000,38,123,49823,2018
18990,20,2000,30,245,85564,2016
16997,23,2000,34,245,36673,2017
13890,17,3500,24,290,111102,2013
13199,24,1800,36,170,65601,2015
13400,22,2400,32,182,64314,2015
16991,20,3000,30,300,52201,2011
17999,28,1800,35,132,19520,2018
18995,18,3500,27,248,55651,2013
14999,25,1400,33,153,29542,2017
18998,29,2000,35,146,31513,2016
18998,17,3600,25,283,32102,2019
19990,22,2400,26,181,14905,2020
14958,31,2000,41,158,67746,2016
10900,17,3600,25,283,117153,2015
14999,41,2000,38,188,26784,2017
17998,21,2400,28,185,30970,2018
16500,31,2000,40,158,17304,2017
17850,43,2000,41,188,24234,2017
18981,28,2500,39,203,21291,2019
16000,28,1800,36,132,30868,2017
17243,25,2500,32,170,61885,2017
12900,25,2500,35,178,79916,2015
16989,20,3700,29,328,85557,2015
11995,20,3000,30,300,105691,2012
16995,23,2000,29,166,12500,2019
16843,25,2500,32,170,34769,2017
15990,27,1500,36,160,20820,2018
11000,23,2400,34,192,82985,2015
19977,16,3600,23,308,69769,2015
18988,20,3000,30,300,78455,2013
14985,21,2500,29,168,49389,2017
13745,21,2400,28,172,57959,2014
13998,17,3600,25,283,86032,2015
16497,17,3500,24,290,97939,2014
16500,28,1800,36,132,41724,2017
18421,23,2000,29,166,16326,2019
17416,19,3300,28,293,34455,2015
11985,21,2400,27,180,73257,2011
10460,22,2500,26,170,85556,2012
16670,27,1500,36,160,45847,2018
11990,27,1400,34,101,29758,2015
14800,20,2000,29,220,81004,2014
15995,28,1800,35,132,34179,2019
11997,21,2000,32,245,74827,2017
19500,22,2400,31,180,50521,2016
19987,17,3600,24,288,74469,2015
18721,26,2500,36,175,38137,2016
11499,25,2000,33,147,44803,2017
18481,21,3500,31,268,76362,2014
19988,24,2500,30,184,45400,2016
13000,25,2000,30,161,47453,2017
18900,43,1800,39,134,33691,2017
13395,28,3500,35,360,169055,2014
17760,26,1500,32,170,30345,2019
10900,23,2000,35,240,102556,2015
14323,26,2400,33,185,111878,2015
14900,22,2000,31,240,83471,2014
13599,24,1600,30,130,31701,2016
16699,54,1800,50,121,36341,2018
11885,27,1500,37,160,89783,2016
17499,23,2000,29,166,18679,2018
16450,17,3600,25,283,45840,2018
14950,13,5300,17,295,90238,2005
17540,31,2000,41,158,47959,2016
18988,18,3600,26,305,106743,2016
16998,27,2500,38,179,32838,2018
13281,17,3600,25,283,87208,2016
18238,24,2400,32,185,28899,2020
16990,15,3800,19,205,141224,2008
19495,18,3500,25,266,90425,2016
18900,16,3600,24,283,33620,2019
13000,19,3500,28,248,97698,2011
16698,22,1600,29,201,24711,2016
19501,22,2000,31,240,15861,2015
16369,27,2400,36,185,36101,2017
13788,26,2500,35,184,40233,2017
12995,16,4300,22,300,90153,2004
10995,18,3500,24,266,142587,2011
17991,27,2500,36,184,22945,2018
17950,22,2000,31,270,31000,2019
17434,25,2000,33,210,78011,2016
14995,26,2500,33,170,29801,2017
17960,23,2000,30,164,28945,2017
15140,26,2500,35,184,101286,2017
19500,16,3700,21,242,51909,2010
10990,20,2400,29,182,82129,2014
11639,28,1800,36,132,51236,2017
18591,19,3200,26,271,19817,2014
18995,21,2400,29,180,12443,2018
18761,22,2000,28,252,44224,2018
10495,17,3600,25,283,131667,2013
15995,22,2400,26,172,50746,2017
14200,27,1500,36,160,70238,2017
15921,24,2400,34,185,20536,2018
11995,18,3500,25,285,89684,2013
18300,19,3300,26,290,49874,2019
